方言,日本語
じむぐり,日本に住む茶色のヘビ
じゃーぼ,葬式
じゃっじゃめ,うぐいすの幼鳥//すずめ
ぢゃっちゃめ,うぐいすの幼鳥//すずめ
じゃらんぼ,葬式
じゃんぼ,葬式
じゃんぼん,葬式
じゃんぽん,葬式
じやたんこ,陣取り遊び
じょうり,草履
じょん子,いい子
じんぐり,順繰り
じんじんめ,セミ
すいっちょ,うまおい
すいる,食べ物が腐りかける//仲間に入れる
すえる,食べ物が腐りかける//仲間に入れる
すく,敷く
すくぼー,籾殻
すっかい,すっぱい
すっけー,すっぱい
すっ転ぶ,転ぶ
つっ転ぶ,転ぶ
すっとぶ,吹っ飛ぶ
すっぽる,捨てる
すてぎもねー,この上ない
すなこっこ,アリ地獄
ずのぼせ,自慢していい気になる
砂はだき,旅行などの後一杯やること
すまっこ,隅
すま,隅
すみ,電池
すみつかれ,大根をすりおろして煮た郷土料理
しもつかれ,大根をすりおろして煮た郷土料理
すみつかり,大根をすりおろして煮た郷土料理
しみつかれ,大根をすりおろして煮た郷土料理
しみつかり,大根をすりおろして煮た郷土料理
するす,籾摺り//脱穀
するすひき,籾摺り//脱穀
するびく,引きずる
すりびく,引きずる
ずぐむ,座る//うずくまる
ずずねえ,不快である//気持ち悪い
ずぞさま,お地蔵様
ずどさま,お地蔵様
すてぎもねえ,素晴らしい//この上ない
ずどど,地蔵堂
ずる込み,割り込み
せえせとする,すっきりする//せえせえする
せせぐい,ツマミ食い
切ない,切ない//苦しい//つらい
せづなえ,貧しい（悲しい）
せづっぱずれ,季節はずれ
せつっぱずれ,季節はずれ
せな,兄//長男//息子//弟の嫁の親族
せぴたれ,恐がり
せぶ,田んぼや畑の面積
せやける,むかつく//いらだつ
せやねえ,世話ない
せろせろする,小腹がすく
せんぜ畑,前栽畑
せんに,以前に
せんの頃,先頃//以前
せーに頃,先頃//以前
せんべん,煎餅//せんべい
ぜね,銭//お金
そーいに,そんなに
そうだに,そんなに
総領,長男//長女//跡取り
惣領,長男//長女//跡取り
そおだごと,そんなこと
そったごと,そんなこと
そじる,口の中がただれる
そそっぽ,そそっかしい人
そそらっぺ,上の空//いいかげん
そそらそっぺ,上の空//いいかげん
そっくりげーる,反り返る//反っくり返る
そっつりげーる,反り返る//反っくり返る
向こう側,そっち側
そべーる,甘える
そらっぽ,上の空//よそ見
そんけ,そのくらい
そんじ,それでは
ぞうさねえ,たやすい
ぞっき,混じりけのない//純粋な
だる,与える
たいしたもんだ,それはよかった
たいそばる,偉そうな態度をとる\
たいそらしい,わかったような態度//えらそうな態度
たかる,（ごみやほこりなどが）つく
たがぼうき,竹ぼうき
たかぼうき,竹ぼうき
たごと抜かせ,戯言を言うんじゃない
たごまる,こんがらがる//からまる
たぐまる,こんがらがる//からまる
たぐるまる,こんがらがる//からまる
たごんでる,こんがらがる//からまる
ただくりけえる,転ぶ//倒れる//ひっくり返る
たっぺ,アイスバーン
たてっけし,沸かし直し
たでめ,上棟式//近所の人が屋根に上ってもち、ラーメン、みかん、お金、カラーボールなどを撒くこと
足袋,靴下
食べらせる,食べさせる//食わせる
たんけ,淡貝
たんころ,たんぽろ
たんたご飯,卵かけご飯
田んなか,田んぼ
たんま,一時休憩//タイム
だぁーこのっ,なんだーこのやろー
だいじ,大丈夫？//大丈夫
だいじげ,大丈夫？
だいじぶ,大丈夫
だいだ,だめだ
だいだらぼう,大昔日本に住んでいたとされる大男
だかんな,だかんね
だからな,だからね
だしけ,だそうだ
だちけ,だそうだ
だちけど,だそうだ
だす,差し上げる
だちけど,だってよ//だってさ
抱っこさる,抱きつく//抱っこされる
抱っかさる,抱きつく//抱っこされる
だがさる,抱きつく//抱っこされる
だっぺ,でしょ//だろう
だべ,でしょ//だろう
だへ,でしょ//だろう
だんべ,でしょ//だろう
だなや,だなあ//だねえ
だねーよ,じゃないよ
だへよ,でしょうよ//だっぺよ
だらんぎょ,おとなのちんちん
だんばしご,階段
ちーちめ,セミ
ちいち,にいにいぜみ
ちくらっぽ,嘘
ちくらっぺ,嘘
ちかたび,地下足袋//じかたび
違くて,違っていて//そうじゃなくて
ちがーくて,違っていて//そうじゃなくて
ちきしょ
ちく,嘘
ちぐ,嘘
ちこ,嘘
ちぐぬき,うそつき
ちぐぬぐ,嘘をつく
ちち,土
ちちうら,土浦
ちちゅうら,土浦
つちゅうら,土浦
ちぢらんかんぽん,ちちんぷいぷい
ちっけったっ,じゃんけんの掛け声
ちっけっぴっ,じゃんけんの掛け声
ちっと,ちょっと//少し
ちんと,ちょっと//少し
ちっとにあんじゃね,ちょっとあるどころじゃない//沢山ある
ちっとんべえ,ちょっとばかり//少しばかり
ちゃぢゃむじゃく,ぐちゃぐちゃに散らかっている様子
ちゃっこい,冷たい
ちゃっこく,茶色く
